Players,Courts,Max Rounds,Round,1a,1b,1c,1d,,2a,2b,2c,2d,,3a,3b,3c,3d,,4a,4b,4c,4d,,5a,5b,5c,5d,,6a,6b,6c,6d,,b1,b2,b3,b4,b5,b6,
28,6,10,1,1,3,2,4,,9,11,10,12,,7,8,5,6,,19,18,17,20,,15,16,13,14,,21,22,24,23,,26,25,27,28,x,x,406
28,6,10,2,13,24,1,25,,20,14,21,9,,11,22,2,27,,3,18,16,6,,8,12,23,4,,7,26,28,17,,5,15,10,19,x,x,406
28,6,10,3,26,4,19,14,,24,7,15,20,,18,28,25,12,,11,3,5,17,,2,23,10,13,,27,1,6,21,,16,9,8,22,x,x,406
28,6,10,4,25,9,17,23,,5,21,19,13,,20,16,2,26,,10,7,18,22,,15,11,4,28,,27,3,8,24,,14,12,6,1,x,x,406
28,6,10,5,6,26,24,10,,22,25,14,5,,3,19,9,7,,28,8,13,20,,17,15,27,12,,23,1,11,16,,21,4,18,2,x,x,406
28,6,10,6,21,15,3,25,,23,18,5,26,,20,10,4,27,,1,17,14,8,,9,6,28,2,,19,16,12,22,,7,13,11,24,x,x,406
28,6,10,7,2,21,12,7,,26,1,15,9,,13,6,22,4,,5,27,28,16,,25,8,10,19,,18,14,11,24,,3,20,23,17,x,x,406
28,6,10,8,10,16,17,21,,3,12,13,26,,4,5,9,24,,7,14,23,27,,6,11,20,25,,2,8,15,18,,1,22,19,28,x,x,406
28,6,10,9,6,15,23,19,,17,13,24,2,,10,14,28,3,,22,26,8,9,,4,7,16,25,,1,5,12,20,,11,18,21,27,x,x,406
28,6,10,10,1,28,19,7,,22,23,20,3,,13,18,27,9,,12,16,24,6,,21,8,11,26,,2,5,14,25,,15,17,4,10,x,x,406
27,6,10,1,1,3,2,4,,9,11,10,12,,19,18,17,20,,7,8,5,6,,15,16,13,14,,21,22,24,23,,26,25,27,x,x,x,378
27,6,10,2,3,19,9,7,,2,25,14,5,,22,8,13,20,,6,26,24,10,,17,15,27,12,,23,1,11,16,,21,4,18,x,x,x,378
27,6,10,3,2,21,12,7,,26,1,15,9,,13,6,17,4,,5,27,22,16,,25,8,10,19,,18,14,11,24,,3,20,23,x,x,x,378
27,6,10,4,13,24,1,25,,20,14,21,9,,11,19,2,27,,3,18,16,6,,8,12,23,4,,7,26,22,17,,5,15,10,x,x,x,378
27,6,10,5,26,4,19,14,,24,7,15,20,,18,22,25,12,,11,3,5,17,,2,23,10,13,,27,1,6,21,,16,9,8,x,x,x,378
27,6,10,6,20,16,2,26,,5,21,19,13,,25,9,17,23,,10,7,18,1,,15,11,4,22,,27,3,8,24,,14,12,6,x,x,x,378
